Id,Nombre,Apellidos,SalarioMensual,Deudas,RetencionFuente,Correo,Telefono,Cargo
118412,Veronica,Peralta,1142652,True,0.1,bbbb@hotmail.com,4647281,arquitecto
70868,Kelly,Gomez,2633064,True,0.1,dddd@hotmail.com,4759899,desarrollador junior
325513,Ana,Gomez,2527825,True,0.1,bbbb@hotmail.com,4887400,arquitecto
60191,Isabel,Urrego,1854445,True,0.1,dddd@hotmail.com,5028774,arquitecto
91597,Isabel,Gomez,4255006,True,0.1,dddd@hotmail.com,4656675,desarrollador junior
164732,Mauricio,Perez,2819563,True,0.1,aaaa@hotmail.com,4676137,desarrollador senior
73227,Juan,Peralta,4826040,True,0.1,aaaa@hotmail.com,4632317,desarrollador junior
18452,Kelly,Montoya,2547375,True,0.1,cccc@hotmail.com,4906743,desarrollador junior
488825,Veronica,Gonzalez,3997206,True,0.1,dddd@hotmail.com,4789228,arquitecto
497317,Kelly,Perez,1472735,True,0.1,cccc@hotmail.com,4894502,desarrollador senior
454546,Andres,Gonzalez,4097093,True,0.1,cccc@hotmail.com,4962135,arquitecto
355705,Juan,Perez,3467781,True,0.1,dddd@hotmail.com,4991350,desarrollador senior
320421,Raul,Gomez,2662736,True,0.1,dddd@hotmail.com,4732699,desarrollador junior
333392,Juan,Gonzalez,4190960,True,0.1,cccc@hotmail.com,4686053,arquitecto
401413,Mauricio,Urrego,2370501,True,0.1,bbbb@hotmail.com,4724261,desarrollador senior
73519,Juan,Gomez,4383015,True,0.1,aaaa@hotmail.com,5069765,desarrollador senior
291624,Kelly,Montoya,2902983,True,0.1,aaaa@hotmail.com,5073546,arquitecto
303819,Mauricio,Peralta,4093181,True,0.1,cccc@hotmail.com,4642708,desarrollador junior
105655,Juan,Gonzalez,4967767,True,0.1,bbbb@hotmail.com,4778877,desarrollador senior
173524,Ana,Gutierrez,1766269,True,0.1,cccc@hotmail.com,4724442,desarrollador junior
170954,Andres,Gonzalez,4106878,True,0.1,aaaa@hotmail.com,4976810,desarrollador senior
108238,Pablo,Perez,2339119,True,0.1,bbbb@hotmail.com,4826594,desarrollador senior
22021,Veronica,Urrego,2754086,True,0.1,bbbb@hotmail.com,5074911,desarrollador junior
366915,Manuela,Gonzalez,2047243,True,0.1,dddd@hotmail.com,5033699,desarrollador senior
343775,Andres,Peralta,4289666,True,0.1,bbbb@hotmail.com,4758698,arquitecto
